Age,Attrition,Attrition Date,Business Travel,Department,Distance From Home,Education,Education Field,Employee Number,Gender,Job Level,Job Role,Marital Status,Monthly Income,Num Companies Worked,Over Time,Over18,Percent Salary Hike,Random Number,Stock Option Level,Survey Questions,Survey Values,Total Working Years,Training Times Last Year,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Curr Manager,Daily Rate,Employee Count,Hourly Rate,Monthly Rate,Performance Rating,Standard Hours
41,Yes,30-04-2022,Rare,Sales,1,Associates Degree,Life Sciences,1,Female,2,Sales Executive,Single,5993,8,With Overtime,Y,11,26,None,Environment Satisfaction,Low,8,0,6,4,0,5,1102,1,94,19479,3,80
41,Yes,30-04-2022,Rare,Sales,1,Associates Degree,Life Sciences,1,Female,2,Sales Executive,Single,5993,8,With Overtime,Y,11,26,None,Job Involvement,Moderate,8,0,6,4,0,5,1102,1,94,19479,3,80
41,Yes,30-04-2022,Rare,Sales,1,Associates Degree,Life Sciences,1,Female,2,Sales Executive,Single,5993,8,With Overtime,Y,11,26,None,Job Satisfaction,High,8,0,6,4,0,5,1102,1,94,19479,3,80
41,Yes,30-04-2022,Rare,Sales,1,Associates Degree,Life Sciences,1,Female,2,Sales Executive,Single,5993,8,With Overtime,Y,11,26,None,Relationship Satisfaction,Very Low,8,0,6,4,0,5,1102,1,94,19479,3,80
41,Yes,30-04-2022,Rare,Sales,1,Associates Degree,Life Sciences,1,Female,2,Sales Executive,Single,5993,8,With Overtime,Y,11,26,None,Work Life Balance,Very Low,8,0,6,4,0,5,1102,1,94,19479,3,80
49,No,,Frequent,Research & Development,8,High School,Life Sciences,2,Male,2,Research Scientist,Married,5130,1,Without Overtime,Y,23,121,100-200,Environment Satisfaction,Moderate,10,3,10,7,1,7,279,1,61,24907,4,80
49,No,,Frequent,Research & Development,8,High School,Life Sciences,2,Male,2,Research Scientist,Married,5130,1,Without Overtime,Y,23,121,100-200,Job Involvement,Low,10,3,10,7,1,7,279,1,61,24907,4,80
49,No,,Frequent,Research & Development,8,High School,Life Sciences,2,Male,2,Research Scientist,Married,5130,1,Without Overtime,Y,23,121,100-200,Job Satisfaction,Low,10,3,10,7,1,7,279,1,61,24907,4,80
49,No,,Frequent,Research & Development,8,High School,Life Sciences,2,Male,2,Research Scientist,Married,5130,1,Without Overtime,Y,23,121,100-200,Relationship Satisfaction,High,10,3,10,7,1,7,279,1,61,24907,4,80
49,No,,Frequent,Research & Development,8,High School,Life Sciences,2,Male,2,Research Scientist,Married,5130,1,Without Overtime,Y,23,121,100-200,Work Life Balance,Moderate,10,3,10,7,1,7,279,1,61,24907,4,80
37,Yes,03-05-2022,Rare,Research & Development,2,Associates Degree,Other,4,Male,1,Laboratory Technician,Single,2090,6,With Overtime,Y,15,23,None,Environment Satisfaction,High,7,3,0,0,0,0,1373,1,92,2396,3,80
37,Yes,03-05-2022,Rare,Research & Development,2,Associates Degree,Other,4,Male,1,Laboratory Technician,Single,2090,6,With Overtime,Y,15,23,None,Job Involvement,Low,7,3,0,0,0,0,1373,1,92,2396,3,80
37,Yes,03-05-2022,Rare,Research & Development,2,Associates Degree,Other,4,Male,1,Laboratory Technician,Single,2090,6,With Overtime,Y,15,23,None,Job Satisfaction,Moderate,7,3,0,0,0,0,1373,1,92,2396,3,80
37,Yes,03-05-2022,Rare,Research & Development,2,Associates Degree,Other,4,Male,1,Laboratory Technician,Single,2090,6,With Overtime,Y,15,23,None,Relationship Satisfaction,Low,7,3,0,0,0,0,1373,1,92,2396,3,80
37,Yes,03-05-2022,Rare,Research & Development,2,Associates Degree,Other,4,Male,1,Laboratory Technician,Single,2090,6,With Overtime,Y,15,23,None,Work Life Balance,Moderate,7,3,0,0,0,0,1373,1,92,2396,3,80
33,No,,Frequent,Research & Development,3,Master's Degree,Life Sciences,5,Female,1,Research Scientist,Married,2909,1,With Overtime,Y,11,56,None,Environment Satisfaction,High,8,3,8,7,3,0,1392,1,56,23159,3,80
33,No,,Frequent,Research & Development,3,Master's Degree,Life Sciences,5,Female,1,Research Scientist,Married,2909,1,With Overtime,Y,11,56,None,Job Involvement,Moderate,8,3,8,7,3,0,1392,1,56,23159,3,80
33,No,,Frequent,Research & Development,3,Master's Degree,Life Sciences,5,Female,1,Research Scientist,Married,2909,1,With Overtime,Y,11,56,None,Job Satisfaction,Moderate,8,3,8,7,3,0,1392,1,56,23159,3,80
33,No,,Frequent,Research & Development,3,Master's Degree,Life Sciences,5,Female,1,Research Scientist,Married,2909,1,With Overtime,Y,11,56,None,Relationship Satisfaction,Moderate,8,3,8,7,3,0,1392,1,56,23159,3,80
